Species,Culmen_Length_mm,Culmen_Depth_mm,Flipper_Length_mm,Body_Mass_g,Island_Biscoe,Island_Dream,Island_Torgersen,Sex_FEMALE,Sex_MALE
Gentoo,0.03949840940783204,-0.596198388843169,1.8627343848097229,3.1189175011493253,True,False,False,False,True
Gentoo,0.8804884992805763,-0.44165865954758227,0.762485706612691,0.9717390562577721,True,False,False,False,True
Adelie,-0.8762463551202669,0.9491989041126947,-0.4087467572744719,-0.03787818302161898,False,False,True,False,True
Adelie,-1.6051044330099797,0.021960528339176104,-0.37325486442940636,-1.2970494952471079,False,True,False,True,False
Chinstrap,1.0299978485912857,0.07347377143770563,-0.7494689285871019,-0.6522625758076976,False,True,False,False,True
Gentoo,1.4785258965234158,-0.6477116319416977,1.9266197919308392,0.8045251596644476,True,False,False,True,False
Gentoo,0.5254037946676401,-0.02955271475935159,0.19461542109164234,0.9109340029511086,True,False,False,False,True
Adelie,-0.8949350237841059,0.4855797162259363,-0.7423705500180892,-0.46731387199992963,False,True,False,True,False
Chinstrap,1.5719692398426095,1.0007121472112241,-0.9766170427955205,-0.5331860130821484,False,True,False,True,False
Adelie,-1.1378877164140107,0.12498701453623332,-0.3945500001364465,0.03559458972393269,False,False,True,False,True
Gentoo,0.7683564872975435,-1.0083043336313997,1.571700863480184,1.1604880758972065,True,False,False,True,False
Chinstrap,0.0021210720801539884,0.38255323002887726,0.37917326388598277,-0.21142593933438758,False,True,False,False,True
Adelie,-1.4369064150354298,-0.44165865954758227,0.12363163540151126,-1.2603131088743322,True,False,False,True,False
Adelie,-2.0723211496059486,0.2795267438318201,-1.941996528181305,-0.3140344667893822,True,False,False,False,True
Gentoo,0.7870451559613825,-1.6264632508137449,1.4794219420830146,1.3378361480416416,True,False,False,True,False
Gentoo,0.22638509604621965,-1.5749500077152163,0.44305867100710117,2.148570192130488,True,False,False,True,False
Gentoo,-0.07263360257520078,-0.9052778474343416,1.5575041063421584,2.0434281207877154,True,False,False,True,False
Adelie,0.18900775871854159,0.6916326886200508,-0.11061485737592212,-0.9144843681926837,False,True,False,True,False
Adelie,-1.5490384270184625,0.3310399869303496,-0.6855835214659836,-0.9765561934432361,False,False,True,True,False
Adelie,0.03949840940783204,1.0522253903097518,-1.1682732641588758,0.22307683741947834,False,True,False,False,True
Adelie,-0.8762463551202669,0.3310399869303496,-0.5436159500857214,-0.4939160828215949,False,True,False,True,False
Chinstrap,1.2355732038935123,-0.02955271475935159,-0.22418891448013145,-0.9461536667899043,False,True,False,True,False
Gentoo,1.3103278785488672,-1.5749500077152163,1.0819127422182808,0.7196514394238965,True,False,False,True,False
Adelie,-1.1378877164140107,1.8764372798862132,-0.8772397428293387,-0.39890818702993325,False,False,True,False,True
Chinstrap,0.8244224932890591,0.5886062024229936,-0.3945500001364465,-0.8802815257076856,False,True,False,True,False
Chinstrap,1.908365275791708,0.07347377143770563,-0.35195972872236825,-1.0386280186937884,False,True,False,True,False
Chinstrap,0.9926205112636091,0.794659174817108,-0.3235662144463154,-1.3971244788143249,False,True,False,True,False
Gentoo,1.1047525232466406,-0.4931719026461118,0.8618630065788729,0.9046001432316645,True,False,False,False,True
Adelie,-0.6893596684818794,1.0007121472112241,-1.4877002997644655,-0.8410115954471321,False,False,True,False,True
Gentoo,1.5345919025149328,-1.4204102784196295,1.2664705850126214,0.7677887732916717,True,False,False,True,False
Gentoo,0.31982843936541344,-0.9052778474343416,1.3303559921337398,1.698866152049956,True,False,False,False,True
Chinstrap,0.20769642738238062,1.4643313350979825,-0.28807432160124985,-0.6497290319199199,False,True,False,True,False
Gentoo,0.6749131439783496,-0.6477116319416977,1.9763084419139323,0.5967745608666808,True,False,False,False,True
Chinstrap,1.87098793846403,0.8461724179156375,-0.35905810729138093,-0.21142593933438758,False,True,False,False,True
Gentoo,0.31982843936541344,-0.6992248750402262,1.9905051990519576,2.695815671890459,True,False,False,True,False
Adelie,-0.18476561455823362,0.22801350073329238,-1.4167165140743345,-0.24309523793160814,False,False,True,True,False
Gentoo,0.8431111619528981,-1.8325162232078602,1.6142911348942641,0.7931242121694482,True,False,False,False,True
Adelie,-0.42771830718813697,0.12498701453623332,-0.721075414311049,0.025460414172822115,False,False,True,False,True
Adelie,-1.0257557044309777,-0.9052778474343416,-1.4238148926433472,-0.21142593933438758,False,False,True,False,True
Adelie,-0.5211616505073308,-0.4931719026461118,-0.8417478499842731,0.05839648471393148,False,True,False,True,False
Adelie,-1.4742837523631078,0.537092959324464,-1.2676505641250597,-0.2405616940438305,False,True,False,True,False
Gentoo,0.18900775871854159,-0.596198388843169,0.7411905709056509,1.2339608486427582,True,False,False,False,True
Adelie,-1.4369064150354298,0.5886062024229936,-1.1966667784349285,-2.153387329315952,False,True,False,True,False
Adelie,-1.1005103790863326,0.5886062024229936,-1.0688959641926918,-0.6231268210982547,True,False,False,False,True
Adelie,-0.22214295188591032,0.8976856610141651,-1.1966667784349285,-0.592724294444923,False,True,False,True,False
Chinstrap,1.3103278785488672,1.0522253903097518,-0.3377629715843408,-0.21142593933438758,False,True,False,True,False
Gentoo,0.03949840940783204,-1.7810029801093317,1.3800446421168306,2.0624296999460476,True,False,False,True,False
Adelie,-1.0444443730948167,0.12498701453623332,-0.26677918589420974,0.3370863123694723,True,False,False,True,False
Gentoo,0.9365545052720919,-1.8325162232078602,1.1457981493393974,1.3872402538533057,True,False,False,True,False
Gentoo,-0.48378431317965404,-1.2143573060255142,0.8476662494408476,-0.21142593933438758,True,False,False,False,True
Gentoo,0.7122904813060277,-1.0598175767299283,1.4226349135309089,1.0198763901255474,True,False,False,True,False
Gentoo,0.15163042139086486,-1.6779764939122734,0.5140424566972323,1.4721139740938567,True,False,False,True,False
Gentoo,0.6749131439783496,-0.853764604335813,0.5708294852493359,1.0198763901255474,True,False,False,False,True
Adelie,-0.37165230119662124,0.4855797162259363,-0.9198300142434169,-1.3426532852271056,False,False,True,False,True
Gentoo,0.7683564872975435,-1.2658705491240436,1.3161592349957123,0.5106340686822409,True,False,False,False,True
Adelie,-0.7080483371457184,1.5673578212950399,-1.4664051640574254,-0.22662720266105346,False,False,True,True,False
Chinstrap,0.7683564872975435,1.3613048489009254,-0.6713867643279581,-0.21142593933438758,False,True,False,False,True
Chinstrap,0.8991771679444153,0.17650025763476285,-0.011237557409738206,-0.23169429043660875,False,True,False,True,False
Gentoo,0.6749131439783496,-0.6477116319416977,0.4146651567310483,2.727484970487679,True,False,False,True,False
Adelie,0.020809740743993013,1.8764372798862132,-0.4939273001026304,-0.21142593933438758,False,True,False,True,False
Adelie,-0.8762463551202669,0.17650025763476285,-1.1327813713138102,-0.2177597990538317,True,False,False,True,False
Gentoo,1.0113091799274467,-0.853764604335813,1.685274920584395,0.3953578217883581,True,False,False,False,True
Gentoo,0.020809740743993013,-0.3386321733505251,1.3161592349957123,0.9755393720894385,True,False,False,False,True
Chinstrap,0.2824511020377354,-0.23560568715346786,-0.7281737928800618,-0.7662720507576916,False,True,False,True,False
Chinstrap,0.2637624333738964,0.4340664731274068,-0.3022710787392753,-0.9942910006576795,False,True,False,False,True
Adelie,-1.754613782320689,-0.44165865954758227,-0.8346494714152584,-0.9195514559682391,True,False,False,False,True
Adelie,-1.380840409043914,1.0522253903097518,-1.0192073142096008,-0.7042002255071393,False,True,False,True,False
